iteration,cost,best_cost,survived_frac,mean_abs_x,mean_abs_theta,mean_abs_x_dot,mean_abs_theta_dot,mean_abs_u,settle_abs_x,settle_abs_theta,kp_theta,ki_theta,kd_theta,kp_x,ki_x,kd_x
37,1.772220,1.765938,1.0000,0.021818,0.001149,0.009646,0.001957,0.017053,0.000626,0.000007,59.605632,0.500000,14.180890,2.800000,0.020416,2.180000
38,1.790699,1.765938,1.0000,0.020631,0.001184,0.009867,0.002060,0.017052,0.000894,0.000002,53.341557,0.630502,14.180890,2.800000,0.020416,2.180000
39,1.755358,1.755358,1.0000,0.020991,0.001228,0.010233,0.002057,0.017025,0.000636,0.000001,53.341557,0.500000,15.746909,2.800000,0.020416,2.180000
40,1.794257,1.755358,1.0000,0.017536,0.001239,0.010198,0.002224,0.017490,0.000548,0.000001,53.341557,0.500000,15.746909,3.421187,0.020416,2.180000
41,1.922206,1.755358,1.0000,0.021759,0.001244,0.010362,0.002060,0.017200,0.002686,0.000004,53.341557,0.500000,15.746909,2.800000,0.038164,2.180000
42,1.920772,1.755358,1.0000,0.030304,0.001286,0.010580,0.001904,0.017251,0.002165,0.000079,49.039676,0.527150,16.314655,1.874590,0.021276,2.875505
43,1.773865,1.755358,1.0000,0.019755,0.001271,0.010524,0.002165,0.017366,0.000657,0.000001,48.017094,0.500000,15.746909,2.800000,0.020416,2.180000
44,1.779939,1.755358,1.0000,0.021048,0.001231,0.010263,0.002056,0.017061,0.000941,0.000001,53.341557,0.389074,15.746909,2.800000,0.020416,2.180000
45,1.763816,1.755358,1.0000,0.020423,0.001193,0.009950,0.002059,0.017068,0.000587,0.000002,53.341557,0.500000,14.415793,2.800000,0.020416,2.180000
46,1.799427,1.755358,1.0000,0.026532,0.001251,0.010428,0.001900,0.016935,0.001250,0.000028,53.341557,0.500000,15.746909,2.178813,0.020416,2.180000
47,1.874122,1.755358,1.0000,0.022400,0.001212,0.010106,0.002053,0.016855,0.002152,0.000001,53.341557,0.500000,15.746909,2.800000,0.002668,2.180000
48,1.760594,1.755358,1.0000,0.020563,0.001255,0.010472,0.002060,0.017105,0.000657,0.000002,53.341557,0.500000,15.746909,2.800000,0.020416,1.727421
49,1.863990,1.755358,1.0000,0.022287,0.001330,0.010965,0.002127,0.017719,0.001951,0.000003,44.224961,0.469678,15.626818,2.368479,0.027919,2.151813
50,1.789031,1.755358,1.0000,0.021090,0.001232,0.010271,0.002056,0.017070,0.001056,0.000001,53.341557,0.361901,15.746909,2.800000,0.020416,2.180000
51,1.752513,1.752513,1.0000,0.021394,0.001252,0.010433,0.002056,0.017065,0.000671,0.000001,53.341557,0.500000,16.683574,2.800000,0.020416,2.180000
52,1.768499,1.752513,1.0000,0.019175,0.001250,0.010372,0.002148,0.017227,0.000564,0.000001,53.341557,0.500000,16.683574,3.153415,0.020416,2.180000
53,1.888925,1.752513,1.0000,0.022018,0.001265,0.010539,0.002059,0.017208,0.002347,0.000003,53.341557,0.500000,16.683574,2.800000,0.034685,2.180000
54,1.763128,1.752513,1.0000,0.022149,0.001227,0.010157,0.002062,0.017089,0.000714,0.000008,53.341557,0.500000,16.683574,2.800000,0.020416,2.831985
55,1.750110,1.750110,1.0000,0.022471,0.001220,0.010216,0.001981,0.016833,0.000709,0.000004,57.867351,0.500000,16.683574,2.800000,0.020416,2.180000
56,1.793590,1.750110,1.0000,0.020681,0.001173,0.009864,0.002020,0.016805,0.001008,0.000001,59.260876,0.509559,15.434123,3.076216,0.012571,2.005849
57,1.748011,1.748011,1.0000,0.022887,0.001243,0.010411,0.001981,0.016868,0.000755,0.000004,57.867351,0.500000,17.645305,2.800000,0.020416,2.180000
58,1.755485,1.748011,1.0000,0.019918,0.001235,0.010313,0.002086,0.016995,0.000553,0.000001,57.867351,0.500000,17.645305,3.248808,0.020416,2.180000
59,1.882506,1.748011,1.0000,0.023406,0.001256,0.010508,0.001984,0.017001,0.002425,0.000005,57.867351,0.500000,17.645305,2.800000,0.033239,2.180000
60,1.755509,1.748011,1.0000,0.023322,0.001229,0.010251,0.001984,0.016879,0.000778,0.000010,57.867351,0.500000,17.645305,2.800000,0.020416,2.564693
61,1.750377,1.748011,1.0000,0.021971,0.001272,0.010602,0.002045,0.017100,0.000713,0.000001,54.020426,0.500000,17.645305,2.800000,0.020416,2.180000
62,1.767868,1.748011,1.0000,0.022929,0.001246,0.010432,0.001981,0.016894,0.000994,0.000004,57.867351,0.419856,17.645305,2.800000,0.020416,2.180000
63,1.898751,1.748011,1.0000,0.019177,0.001380,0.011152,0.002266,0.018484,0.001826,0.000004,53.001808,0.422451,17.134509,3.378441,0.000000,1.619232
64,1.777860,1.748011,1.0000,0.026240,0.001257,0.010534,0.001893,0.016829,0.001108,0.000021,57.867351,0.500000,17.645305,2.418513,0.020416,2.180000
65,1.792212,1.748011,1.0000,0.023586,0.001233,0.010328,0.001979,0.016757,0.001329,0.000004,57.867351,0.500000,17.645305,2.800000,0.009516,2.180000
66,1.746672,1.746672,1.0000,0.022542,0.001257,0.010557,0.001982,0.016882,0.000752,0.000001,57.867351,0.500000,17.645305,2.800000,0.020416,1.853011
67,1.745970,1.745970,1.0000,0.022725,0.001251,0.010518,0.001970,0.016835,0.000762,0.000001,58.650002,0.500000,17.645305,2.800000,0.020416,1.853011
68,1.745469,1.745469,1.0000,0.022814,0.001248,0.010491,0.001970,0.016802,0.000760,0.000001,58.650002,0.598325,17.645305,2.800000,0.020416,1.853011
69,1.744677,1.744677,1.0000,0.023013,0.001260,0.010588,0.001972,0.016844,0.000769,0.000001,58.650002,0.598325,18.118210,2.800000,0.020416,1.853011
70,1.783303,1.744677,1.0000,0.024816,0.001306,0.010868,0.001999,0.017178,0.001253,0.000005,52.437404,0.426776,18.410372,2.519126,0.008211,2.172601
71,1.840124,1.744677,1.0000,0.023341,0.001272,0.010684,0.001974,0.016975,0.001930,0.000003,58.650002,0.598325,18.118210,2.800000,0.032425,1.853011
72,1.744276,1.744276,1.0000,0.023057,0.001258,0.010568,0.001971,0.016839,0.000765,0.000001,58.650002,0.598325,18.118210,2.800000,0.020416,1.896718
73,1.740942,1.740942,1.0000,0.023689,0.001239,0.010438,0.001931,0.016687,0.000745,0.000003,61.429406,0.598325,18.118210,2.800000,0.020416,1.896718
74,1.750791,1.740942,1.0000,0.023811,0.001237,0.010423,0.001931,0.016669,0.000875,0.000003,61.429406,0.656229,18.118210,2.800000,0.020416,1.896718
75,1.739729,1.739729,1.0000,0.023984,0.001255,0.010575,0.001932,0.016742,0.000765,0.000003,61.429406,0.598325,18.813061,2.800000,0.020416,1.896718
76,1.751789,1.739729,1.0000,0.021715,0.001250,0.010504,0.002006,0.016838,0.000725,0.000002,61.429406,0.598325,18.813061,3.124264,0.020416,1.896718
77,1.753750,1.739729,1.0000,0.023212,0.001268,0.010662,0.001969,0.016862,0.000907,0.000001,62.112518,0.623476,19.920656,3.000729,0.025221,2.048956
